item_id,order_id,product_id,quantity,price,discount_percent,tax_amount,line_total
1,1,219,2,218.62,150.0,35.85,437.98
2,1,209,2,210.76,15.0,21.78,348.98
3,1,248,6,762.07,5.0,628.77,6263.85
4,2,207,7,760.77,20.0,541.06,5714.95
5,2,206,4,874.28,50.0,444.57,4943.51
6,3,203,4,500.51,150.0,214.37,1373.13
7,4,244,1,416.0,50.0,39.65,191.62
8,4,223,4,690.78,0.0,161.28,1022.33
9,4,217,9,393.85,50.0,445.35,100.49
10,4,231,9,750.28,5.0,966.45,2222.83
11,5,207,6,162.35,25.0,72.72,726.6
12,5,217,9,211.23,150.0,120.27,1523.67
13,5,226,7,701.64,5.0,300.09,5189.44
14,6,247,6,931.92,5.0,67.11,6197.45
15,6,226,6,512.13,150.0,67.73,3750.65
16,7,217,5,233.11,-5.0,2.71,576.16
17,7,228,6,735.52,-5.0,651.81,2578.59
18,8,234,9,608.45,15.0,617.29,3054.67
19,8,238,8,755.88,0.0,462.01,4085.37
20,8,232,4,946.64,,,4696.47
21,9,230,7,23.17,50.0,2.37,242.78
22,9,206,2,229.29,50.0,41.67,544.28
23,9,248,10,640.39,5.0,719.65,3684.96
24,10,241,3,275.88,5.0,38.55,451.5
25,10,205,2,43.14,20.0,2.92,
26,10,240,3,163.5,15.0,0.02,215.33
27,10,247,2,992.72,-5.0,104.71,1320.73
28,10,238,5,9.92,150.0,0.28,19.53
29,11,245,2,405.1,0.0,28.81,710.28
30,11,,1,742.12,25.0,59.37,448.89
31,12,239,5,967.66,0.0,715.26,2490.34
32,12,207,8,399.86,20.0,165.83,92.47
33,12,221,9,326.0,50.0,271.94,386.1
34,12,243,4,96.07,20.0,14.01,281.69
35,12,206,10,,150.0,,
36,13,203,8,358.91,5.0,6.02,1263.0
37,13,218,10,919.41,-5.0,811.02,2834.86
38,13,224,9,346.3,-5.0,144.96,3840.9
39,13,243,7,116.98,150.0,107.26,93.06
40,13,250,3,782.38,,,1135.39
41,14,244,2,374.02,5.0,80.35,1093.51
42,14,242,9,286.7,150.0,293.75,2671.3
43,14,203,10,167.06,-5.0,244.98,1958.64
44,14,218,6,916.88,15.0,167.79,2889.77
45,14,228,,658.0,20.0,,
46,15,214,10,993.4,15.0,180.36,7121.0
47,15,208,4,588.84,50.0,183.4,670.51
48,15,249,1,106.6,0.0,2.09,88.86
49,16,245,3,58.25,0.0,2.8,93.91
,16,205,2,643.18,25.0,111.37,
51,16,217,9,721.52,5.0,481.32,8447.53
52,16,234,1,207.24,20.0,26.97,231.57
53,17,220,6,902.84,20.0,459.29,1920.09
54,17,239,9,309.67,150.0,120.08,4065.17
55,18,217,0,601.16,50.0,,
56,18,202,5,940.88,50.0,83.37,6808.94
57,19,235,6,338.5,20.0,184.39,1084.54
58,20,243,2,227.54,0.0,47.24,12.81
59,20,205,9,197.67,150.0,203.49,2410.68
60,20,,5,796.14,,,1708.9
61,21,249,9,899.11,0.0,687.43,5046.26
62,21,244,8,873.65,15.0,453.53,5491.25
63,21,228,4,829.94,20.0,486.88,2405.4
64,21,211,6,106.44,0.0,32.9,577.81
65,21,226,-1,294.05,0.0,-8.97,-254.33
66,22,246,9,265.58,5.0,199.7,1040.58
67,22,219,8,87.11,150.0,47.56,649.88
68,22,222,9,960.39,20.0,18.62,297.84
69,22,218,10,847.28,25.0,152.59,6541.11
70,23,205,2,,15.0,,
71,24,208,4,826.4,15.0,2.71,3728.46
72,24,214,4,729.37,15.0,12.29,2426.02
73,24,237,8,797.94,5.0,518.08,6462.04
74,24,215,7,208.79,15.0,194.02,1117.87
75,26,245,5,0.0,50.0,,
76,26,212,9,773.94,15.0,104.26,6643.02
77,26,207,5,496.37,-5.0,17.56,421.59
78,26,236,9,295.68,5.0,106.62,3808.55
79,26,226,5,820.76,25.0,91.79,2515.78
80,27,220,5,89.47,,,495.88
81,27,217,2,656.25,0.0,135.86,1870.27
82,27,204,1,444.13,-5.0,13.18,21.76
83,27,249,5,254.26,50.0,24.4,655.46
84,28,245,5,180.34,5.0,27.96,1001.45
85,28,217,2,-87.42841606619966,150.0,-13.58,-220.82
86,28,236,4,578.97,50.0,329.89,2050.38
87,29,233,2,84.36,-5.0,12.91,120.36
88,29,222,7,222.19,0.0,1.03,479.1
89,29,219,7,398.88,0.0,263.56,2698.48
90,29,,,78.37,15.0,,
91,29,245,10,499.22,5.0,376.31,3230.02
92,30,246,4,637.46,20.0,146.14,1613.2
93,30,226,8,381.76,150.0,104.37,2773.73
94,31,240,7,589.37,15.0,34.65,1581.71
95,31,203,9,393.88,15.0,158.55,4777.91
96,32,231,3,115.8,150.0,12.17,181.45
97,32,235,3,523.11,150.0,231.59,528.02
98,32,207,2,708.48,15.0,37.7,1868.6
99,32,206,10,819.58,150.0,606.27,7001.03
,33,206,8,403.11,,,
101,34,212,2,148.05,-5.0,14.26,124.5
102,35,250,5,884.92,50.0,564.74,957.22
103,35,234,3,252.63,5.0,112.69,333.47
104,35,209,8,501.27,150.0,183.92,3150.86
105,35,216,9,,20.0,,
106,35,225,6,180.82,0.0,2.77,720.35
107,36,225,9,397.12,150.0,24.65,3139.29
108,37,242,8,568.61,5.0,357.29,3227.49
109,38,244,10,383.35,15.0,414.85,2218.37
110,38,220,0,497.06,0.0,,
111,38,208,2,422.65,15.0,98.01,28.45
112,39,216,1,814.32,20.0,100.62,345.51
113,39,217,7,48.27,150.0,32.37,342.41
114,39,220,6,867.12,150.0,150.0,2288.71
115,39,230,8,435.14,50.0,434.28,1248.06
116,39,202,4,630.38,25.0,78.69,300.78
117,,244,6,272.65,50.0,45.48,510.18
118,41,243,7,841.07,-5.0,829.85,7997.61
119,41,237,8,529.03,5.0,80.72,925.41
120,41,,1,571.65,,,754.72
121,41,249,8,852.99,25.0,991.12,9195.84
122,41,230,7,551.5,5.0,89.73,1512.92
123,42,225,4,336.65,50.0,149.98,984.39
124,42,221,3,986.16,25.0,204.73,848.64
125,43,216,3,223.05,0.0,54.82,
126,43,222,6,378.07,0.0,92.65,772.86
127,43,228,6,287.23,-5.0,24.87,2237.56
128,43,221,2,686.24,150.0,170.21,1101.76
129,44,247,3,24.37,150.0,6.57,16.44
130,44,238,-1,570.22,15.0,-40.57,-739.63
131,44,209,8,112.14,15.0,36.9,983.79
132,45,206,5,552.79,50.0,57.23,3740.82
133,45,222,1,375.5,150.0,22.45,172.63
134,45,244,6,675.1,5.0,229.22,3804.09
135,45,231,,514.3,50.0,,
136,45,230,10,870.0,150.0,13.09,5865.24
137,46,240,9,467.43,20.0,333.23,735.26
138,46,206,8,441.11,5.0,192.37,1452.82
139,46,222,10,118.87,50.0,169.98,354.62
140,46,249,7,,,,
141,47,245,10,956.71,25.0,918.53,6919.17
142,47,219,10,488.18,150.0,725.68,6901.11
143,48,234,9,660.76,15.0,118.16,2700.08
144,48,216,10,267.16,-5.0,190.28,543.28
145,49,213,7,129.53,5.0,61.05,383.77
146,49,232,9,214.67,20.0,251.06,2258.29
147,49,229,9,807.39,5.0,29.53,8178.68
148,51,216,8,983.62,-5.0,1146.51,11473.42
149,51,241,4,729.74,5.0,23.03,1723.54
,51,,9,0.0,0.0,,
151,52,210,6,980.09,5.0,72.58,8525.39
152,52,202,6,108.61,0.0,81.73,588.82
153,52,249,9,495.57,150.0,264.55,3504.83
154,52,221,1,892.81,15.0,108.01,1116.78
155,52,208,9,416.41,0.0,356.85,4871.12
156,53,225,6,111.24,5.0,97.74,622.54
157,53,243,4,54.22,150.0,11.21,83.31
158,53,201,7,512.02,5.0,126.27,5052.16
159,53,236,1,807.16,0.0,9.72,614.24
160,53,226,8,777.13,,,9014.92
161,54,224,2,626.08,50.0,101.55,942.29
162,54,226,2,439.18,0.0,0.91,5.73
163,54,245,1,621.64,50.0,70.12,27.4
164,54,202,4,496.42,0.0,240.85,1408.13
165,55,244,0,938.21,25.0,,
166,55,236,5,384.58,150.0,14.12,1656.24
167,56,227,2,560.0,-5.0,80.25,591.75
168,56,206,9,183.87,50.0,143.23,1400.97
169,56,213,1,729.88,0.0,73.26,844.1
170,56,247,5,-92.78622755688966,25.0,-68.24,-517.12
171,57,209,2,995.45,5.0,49.21,505.93
172,57,223,4,464.45,0.0,18.68,728.61
173,57,238,3,681.5,15.0,10.54,2494.47
174,57,249,1,918.6,50.0,99.51,853.83
175,57,212,3,,25.0,,
176,58,235,4,817.72,150.0,277.04,4215.15
177,58,230,6,45.79,5.0,16.18,120.99
178,59,206,9,957.97,50.0,406.7,5321.77
179,59,207,5,177.03,20.0,93.27,493.43
180,59,,,151.28,,,
181,60,229,8,678.45,150.0,106.16,4467.03
182,60,247,9,367.23,25.0,285.74,4701.1
183,61,241,2,101.98,5.0,7.23,213.96
184,61,213,6,32.37,0.0,21.55,88.08
185,61,240,9,108.73,0.0,133.94,398.68
186,61,239,2,278.64,5.0,45.45,559.19
187,62,234,4,885.46,15.0,10.91,1265.26
188,62,224,2,742.85,25.0,167.95,1000.29
189,62,236,9,584.01,0.0,213.8,2356.76
190,62,221,1,187.12,25.0,16.76,89.46
191,63,223,3,532.99,25.0,48.83,1051.22
192,64,223,1,373.75,25.0,17.97,167.73
193,64,228,10,597.95,0.0,423.86,7391.78
194,64,244,2,590.72,20.0,76.15,1113.85
195,65,230,-1,505.47,5.0,-8.69,-729.48
196,65,213,4,233.16,20.0,122.86,501.77
197,65,230,7,814.89,50.0,81.16,3314.05
198,66,227,8,918.59,50.0,905.15,2.44
199,66,203,6,405.41,50.0,46.84,1132.76
,66,204,2,998.22,,,
201,67,220,1,538.98,-5.0,12.08,4.3
202,67,243,8,759.25,-5.0,69.64,6644.32
203,68,238,3,986.95,150.0,203.24,3729.77
204,68,205,7,426.82,15.0,67.28,3825.71
205,68,205,10,245.8,15.0,133.56,1956.18
206,69,226,8,482.14,150.0,391.08,5701.61
207,69,244,4,653.33,20.0,353.65,3806.63
208,70,227,3,708.41,0.0,179.09,62.86
209,70,225,5,175.1,0.0,9.12,121.88
210,70,,9,,5.0,,
211,71,218,7,605.66,20.0,119.86,621.19
212,71,218,9,420.95,20.0,503.15,1603.97
213,71,222,1,354.69,20.0,47.35,514.56
214,72,203,5,986.25,-5.0,118.61,208.78
215,72,211,8,811.78,25.0,759.1,2410.29
