order_id,customer_id,order_date,status,total_amount,source_system,last_updated
1,109,"March 15, 2024",pending,2441.75,new_api,03/16/2024 04:00 PM
2,117,04-03-2023,complete,1052.02,new_api,1677906000
3,111,06-04-2024,CANCELLED,1263.98,new_api,1712480400
4,104,2024-06-02,returned,2665.52,,1717390800
5,104,10/12/2023,Pending,742.11,web_portal,2023-10-12 07:00:00
6,110,08/20/2024,CANCELLED,362.5,legacy_db,2024-08-22T11:00:00.000000Z
7,105,2024-01-07,canceled,2825.62,new_api,2024-01-07 01:00:00
8,120,28-07-2023,complete,710.18,web_portal,07/30/2023 06:00 PM
9,112,20240221,,153.51,,2024-02-23 00:00:00
10,110,2024-07-07,processing,2453.93,mobile_app,2024-07-09T11:00:00.000000Z
11,104,20240914,cancelled,912.01,new_api,2024-09-15T05:00:00.000000Z
12,117,04/30/2024,Cancelled,350.24,legacy_db,2024-04-30T14:00:00.000000Z
13,106,20230919,Cancelled,797.43,,2023-09-20T14:00:00.000000Z
14,101,27-10-2024,"",665.48,"",2024-10-27T19:00:00.000000Z
15,116,,refunded,31.04,mobile_app,05/01/2023 12:00 AM
16,111,02/15/2023,Refunded,780.35,,2023-02-17T13:00:00.000000Z
17,109,24-04-2023,PENDING,1516.18,new_api,1682362800
18,109,02/09/2024,"",1726.29,web_portal,1707652800
19,110,06-09-2024,shipped,304.54,"",2024-09-08T18:00:00.000000Z
20,117,2024-13-45,Completed,2518.09,mobile_app,1723240800
21,120,20240304,delivered,2742.88,mobile_app,2024-03-05T20:00:00.000000Z
22,107,01/26/2024,completed,2486.34,,2024-01-27 08:00:00
,106,20-09-2023,refunded,928.39,mobile_app,2023-09-21 02:00:00
24,114,08-10-2023,completed,671.61,mobile_app,1696946400
25,111,2025-06-15,shipped,1174.01,,2023-11-08T20:00:00.000000Z
26,113,"January 01, 2023",COMPLETED,2733.38,legacy_db,2023-01-02 18:00:00
27,107,2023-06-12,unknwon,2815.83,web_portal,2023-06-12 10:00:00
28,119,2024-01-30,processing,2191.73,"",01/30/2024 03:00 PM
29,115,20230802,pending,874.3,"",1691128800
30,117,,canceled,,,2023-07-02T18:00:00.000000Z
31,102,"November 01, 2023",,2542.27,legacy_db,11/01/2023 03:00 PM
