order_id,customer_id,order_date,status,total_amount
1,101,2024-01-15,completed,150.0
2,102,2024-01-16,completed,320.5
3,101,2024-02-20,completed,89.99
4,103,2024-03-10,cancelled,250.0
5,104,2024-03-15,completed,450.75
6,102,2024-04-01,completed,199.99
7,105,2024-04-10,pending,75.5
8,101,2024-05-05,completed,299.99
9,103,2024-05-20,completed,180.0
10,106,2024-06-01,completed,520.0
11,104,2024-06-15,completed,399.99
12,107,2024-07-01,completed,150.0
13,105,2024-07-10,completed,225.5
14,108,2024-08-05,completed,675.0
15,106,2024-08-20,cancelled,300.0
