order_id,customer_id,order_date,status,total_amount,source_system,last_updated
1,109,20230119,Pending,1509.85,"",01/19/2023 06:00 AM
2,103,12/24/2023,delivered,2712.27,web_portal,1703408400
3,105,"July 23, 2024",PENDING,1844.81,new_api,2024-07-26T00:00:00.000000Z
4,112,11/15/2024,failed,1130.41,"",11/16/2024 05:00 AM
5,104,03-02-2024,shipped,1563.47,web_portal,2024-02-04 22:00:00
6,112,"October 12, 2023",Refunded,478.98,legacy_db,2023-10-13 13:00:00
7,118,"December 10, 2023",cancelled,2273.83,new_api,1702270800
8,101,05-04-2024,,516.43,,04/06/2024 12:00 PM
9,102,10/25/2024,shipped,85.06,"",10/26/2024 08:00 PM
10,106,10-11-2023,shipped,1939.8,legacy_db,2023-11-12T01:00:00.000000Z
11,117,"August 03, 2023",Pending,956.49,mobile_app,2023-08-03T21:00:00.000000Z
12,110,28-06-2023,complete,10.48,"",1688112000
13,120,08/04/2024,refunded,815.52,legacy_db,2024-08-05T02:00:00.000000Z
14,107,20231011,shipped,107.44,,1697198400
15,105,,Shipped,722.08,,1676581200
16,105,10/10/2024,delivered,822.84,legacy_db,1728684000
17,107,"April 17, 2023",Shipped,1752.65,new_api,04/17/2023 05:00 PM
18,104,20230916,Processing,2855.63,"",2023-09-16 16:00:00
19,101,20240410,refunded,710.94,web_portal,2024-04-10 19:00:00
20,107,2024-13-45,complete,123.77,web_portal,05/19/2024 11:00 AM
21,114,2023-06-11,pending,1316.27,mobile_app,2023-06-12T03:00:00.000000Z
22,110,2023-02-20,processing,65.89,legacy_db,02/21/2023 07:00 AM
,117,20230510,canceled,1626.83,web_portal,05/10/2023 04:00 AM
24,109,20240709,Cancelled,2250.92,mobile_app,2024-07-09 19:00:00
25,117,2025-06-15,Shipped,2205.2,web_portal,1685635200
26,117,2023-01-24,Processing,1689.64,web_portal,2023-01-24 00:00:00
27,103,2024-06-10,Canceled,1977.91,legacy_db,2024-06-10T02:00:00.000000Z
28,101,07-11-2024,complete,526.92,,1731034800
29,108,12-09-2023,Canceled,2866.21,web_portal,09/12/2023 11:00 AM
30,112,,Completed,,web_portal,01/08/2023 07:00 PM
31,120,22-02-2024,"",745.2,legacy_db,1708750800
32,109,"August 16, 2024",Canceled,109.07,mobile_app,08/16/2024 10:00 PM
33,110,"January 11, 2023",Completed,2569.92,new_api,2023-01-13 05:00:00
34,115,20240222,PENDING,2672.11,web_portal,02/23/2024 07:00 PM
35,106,10/19/2024,delivered,837.5,"",
36,104,01/27/2024,COMPLETED,2314.58,new_api,2024-01-28 08:00:00
37,120,"May 24, 2024",shipped,1128.12,,05/24/2024 03:00 PM
38,118,05/25/2024,refunded,673.77,,2024-05-27 12:00:00
39,109,"January 18, 2023",canceled,1543.81,"",01/19/2023 12:00 AM
40,108,2024-13-45,CANCELLED,-197.42220283925835,web_portal,2023-05-27 19:00:00
41,119,26-03-2024,complete,1513.77,mobile_app,2024-03-27 04:00:00
42,108,"August 28, 2023",PENDING,2905.82,mobile_app,08/29/2023 07:00 PM
43,112,2024-08-20,,1231.63,,2024-08-22 11:00:00
44,116,2024-02-18,canceled,1855.74,"",2024-02-19T09:00:00.000000Z
45,117,,delivered,405.12,web_portal,2024-03-25 05:00:00
46,104,20240928,cancelled,2016.76,,2024-09-29T16:00:00.000000Z
47,108,20240104,unknwon,1193.98,web_portal,01/04/2024 02:00 AM
48,120,11/06/2024,delivered,1259.6,legacy_db,2024-11-07 09:00:00
49,117,17-08-2024,PENDING,1857.07,,2024-08-18 15:00:00
50,108,2025-06-15,processing,0.0,web_portal,1674637200
51,123,08/21/2024,,2747.01,,2024-08-22 19:00:00
52,131,"June 08, 2023",refunded,774.67,,1686261600
53,125,03/30/2023,Shipped,1550.83,legacy_db,2023-03-30 09:00:00
