order_year,order_month,customer_segment,value_segment,revenue,order_count,customer_count
2023,2,Unknown,low_value,2038.9,1,1
2023,3,Bronze,low_value,287.57,1,1
2023,3,Premium,low_value,6547.17,3,3
2023,7,Premium,low_value,672.5,1,1
2023,10,Regular,low_value,5688.84,4,4
2024,1,Premium,low_value,27300.0,18,18
2024,1,Regular,low_value,59229.16,38,38
2024,1,Unknown,low_value,29638.09,19,19
2024,3,Regular,low_value,1803.0,4,4
2024,6,Premium,low_value,20800.0,4,4
2024,7,Premium,low_value,12550.0,6,6
2024,7,Regular,low_value,2086.04,4,4
2024,8,Regular,low_value,4800.0,1,1
2024,9,Premium,low_value,6500.0,1,1
2024,10,Unknown,low_value,20600.0,5,5
2024,11,Premium,low_value,4353.84,3,3
2024,11,Regular,low_value,2107.68,4,4
2024,11,Unknown,low_value,1053.84,2,2
2024,12,Regular,low_value,13600.0,6,6
